website,phone_number,twitter,facebook,contact_email,linkedin,Name
{'value': 'https://routific.com/'},+1 888-907-6884,{'value': 'https://twitter.com/Routific'},{'value': 'https://www.facebook.com/routific'},info@routific.com,{'value': 'https://www.linkedin.com/company/routific'},routific
{'value': 'https://www.survata.com'},+18007360025,{'value': 'http://twitter.com/survata'},{'value': 'http://facebook.com/survata'},contact@survata.com,{'value': 'http://linkedin.com/company/survata'},survata
{'value': 'https://www.truevault.com'},(415) 462-9710,{'value': 'http://twitter.com/TrueVault'},{'value': 'http://www.facebook.com/truevault'},hello@truevault.com,{'value': 'http://www.linkedin.com/company/truevault'},truevault
{'value': 'https://www.radiusagent.com'},(628)999-2800,{'value': 'https://www.twitter.com/radiusagent'},{'value': 'https://www.facebook.com/radiusagent'},support@radiusagent.com,{'value': 'https://www.linkedin.com/company/radiusagent/'},radiusagent
{'value': 'https://www.mavenx.com'},,{'value': 'https://www.twitter.com/mavenxinc'},{'value': 'https://www.facebook.com/Mavenx/'},marketing@mavenxinc.com,{'value': 'https://www.linkedin.com/company/maven-x-inc'},maven
{'value': 'http://www.pingpad.net/'},,{'value': 'https://twitter.com/pingpad'},{'value': 'https://www.facebook.com/pingpad'},,{'value': 'https://www.linkedin.com/company/3832843'},pingpad
{'value': 'http://www.eden.io'},(800)754-3166,{'value': 'https://twitter.com/edenofficemagic'},{'value': 'https://www.facebook.com/edenofficemagic'},support@eden.io,{'value': 'https://www.linkedin.com/company/4861383'},eden
{'value': 'http://fitbod.me/'},,{'value': 'https://twitter.com/'},{'value': 'https://www.facebook.com/fitbodapp'},feedback@fitbod.me,{'value': 'https://www.linkedin.com/company/fitbod-llc'},fitbod
{'value': 'https://returnbase.com'},(415) 735-5841,{'value': 'https://twitter.com/returnbase'},,support@returnbase.com,{'value': 'https://www.linkedin.com/company-beta/17879211/?'},returnbase
{'value': 'http://www.bizly.com'},646.530.8630,{'value': 'https://www.twitter.com/getbizly'},{'value': 'https://www.facebook.com/getbizly'},support@bizly.com,{'value': 'https://www.linkedin.com/company/6383637'},bizly
{'value': 'http://www.upcall.com'},,{'value': 'https://twitter.com/upcall_com'},{'value': 'https://www.facebook.com/upcall.world/'},support@upcall.com,{'value': 'https://www.linkedin.com/company/upcall'},upcall
{'value': 'http://www.focal.systems/'},,{'value': 'https://twitter.com/focalsystems'},,,{'value': 'https://www.linkedin.com/company/focal-systems-inc.'},focal-systems
{'value': 'https://pinterest.com'},,{'value': 'http://twitter.com/Pinterest'},{'value': 'http://www.facebook.com/pinterest'},hi@pinterest.com,{'value': 'http://www.linkedin.com/company/pinterest'},pinterest
{'value': 'http://500.co'},,{'value': 'http://twitter.com/500startups'},{'value': 'http://www.facebook.com/500startups'},christine@500startups.com,{'value': 'http://www.linkedin.com/company/500-startups'},500-startups
{'value': 'http://enterprise.sickweather.com'},(443) 918-7425,{'value': 'http://twitter.com/sickweather'},{'value': 'http://www.facebook.com/sickweather'},info@sickweather.com,{'value': 'http://www.linkedin.com/company/sickweather-llc'},sickweather
{'value': 'http://www.chewse.com'},(888) 506-6062,{'value': 'http://twitter.com/chewse'},{'value': 'http://www.facebook.com/chewsefood'},info@chewse.com,{'value': 'http://www.linkedin.com/company/chewse'},chewse
{'value': 'http://www.particlebrand.com'},,,,info@particularplace.com,,particle
{'value': 'http://www.scalyr.com'},,{'value': 'http://twitter.com/scalyr'},{'value': 'https://www.facebook.com/scalyr/'},contact@scalyr.com,{'value': 'https://www.linkedin.com/company/scalyr/'},scalyr
{'value': 'http://www.pixlee.com'},(415) 429-3703,{'value': 'https://twitter.com/pixlee'},{'value': 'http://www.facebook.com/usepixlee'},hi@pixleeteam.com,{'value': 'http://www.linkedin.com/company/2718772'},pixlee
{'value': 'https://superhuman.com/'},,{'value': 'https://www.twitter.com/superhumanco'},{'value': 'https://www.facebook.com/superhumanco'},hello@superhuman.com,,superhuman
{'value': 'http://www.alloymarketing.com'},(212) 244-4307,{'value': 'https://www.twitter.com/defymedia'},{'value': 'https://www.facebook.com/defymedia'},info@defymedia.com,{'value': 'https://www.linkedin.com/company/defy-media'},alloy
{'value': 'http://www.truebill.com'},,{'value': 'https://twitter.com/mytruebill'},{'value': 'https://www.facebook.com/mytruebill/'},,{'value': 'https://www.linkedin.com/company/10387903'},truebill
{'value': 'https://winnie.com/'},,{'value': 'https://twitter.com/winnie'},{'value': 'https://www.facebook.com/winnielabs'},info@winnie.com,{'value': 'https://www.linkedin.com/company/winnie/'},winnie
{'value': 'http://kiteedu.com'},13234221890,{'value': 'http://twitter.com/followkite'},,evan@kiteedu.com,,kite
{'value': 'https://www.imgix.com'},(415) 484-5964,{'value': 'http://twitter.com/imgix'},{'value': 'http://www.facebook.com/imgix'},contact@imgix.com,{'value': 'http://www.linkedin.com/company/3825637'},imgix
{'value': 'https://stripe.com'},https://support.stripe.com/contact,{'value': 'http://twitter.com/stripe'},{'value': 'https://www.facebook.com/StripeHQ'},support@stripe.com,{'value': 'http://www.linkedin.com/company/stripe'},stripe
{'value': 'http://www.memsql.com'},(855) 463-6775,{'value': 'http://twitter.com/memsql'},{'value': 'http://www.facebook.com/memsql'},info@memsql.com,{'value': 'http://www.linkedin.com/company/2220441'},memsql
{'value': 'http://careguide.com'},,{'value': 'https://twitter.com/careguide'},{'value': 'https://www.facebook.com/CareGuide'},info@careguide.com,{'value': 'http://linkedin.com/company/careguide'},careguide
{'value': 'http://www.ngdata.com'},800 242 7047,{'value': 'http://twitter.com/ngdata_com'},{'value': 'http://www.facebook.com/pages/NGDATA/236237029803921'},info@ngdata.com,{'value': 'https://www.linkedin.com/company/ngdata'},ngdata
{'value': 'http://sensortower.com'},(888) 285-6786,{'value': 'http://twitter.com/sensortower'},{'value': 'http://www.facebook.com/SensorTower'},support@sensortower.com,{'value': 'https://www.linkedin.com/company/sensor-tower'},sensor-tower
{'value': 'https://equidateinc.com/'},+1 (415) 881-1612,{'value': 'http://twitter.com/equidate'},{'value': 'https://www.facebook.com/Equidate/'},info@equidateinc.com,{'value': 'https://www.linkedin.com/company/equidate/'},equidate
,,,,,,kinetic
{'value': 'http://wrapify.com'},(844)972-7439,{'value': 'https://twitter.com/wrapify'},{'value': 'https://www.facebook.com/pages/Wrapify/1560956280815305'},info@wrapify.com,{'value': 'https://www.linkedin.com/company/9442403'},wrapify
{'value': 'http://revcascade.com'},917 5707567,{'value': 'https://www.twitter.com/revcascadehq'},{'value': 'https://www.facebook.com/revcascadehq/'},info@revcascade.com,{'value': 'https://www.linkedin.com/company/revcascade'},revcascade
{'value': 'http://madewithstudio.com'},801-310-6827,{'value': 'http://twitter.com/Madewithstudio'},{'value': 'http://www.facebook.com/pages/Studio/151276358402536'},,,studio
{'value': 'https://www.akidolabs.com'},(866) 279-7837,{'value': 'https://twitter.com/akidolabs'},{'value': 'https://www.facebook.com/akidolabs/'},info@akidolabs.com,{'value': 'https://www.linkedin.com/company/9335675'},akido-labs
{'value': 'https://www.dv01.co'},(646)854-5258,{'value': 'https://twitter.com/dv01inc'},,jobs@dv01.co,{'value': 'https://www.linkedin.com/company/dv01'},dv01
{'value': 'https://www.starcity.com/'},,,,team@starcity.com,{'value': 'https://www.linkedin.com/company/starcity'},starcity
{'value': 'http://republic.gop/'},202-759-0604,{'value': 'https://twitter.com/republicgop'},,Info@republic.gop,,republic
{'value': 'http://amitree.com'},,{'value': 'http://twitter.com/amitreeinc'},{'value': 'http://www.facebook.com/amitreeinc'},info@amitree.com,{'value': 'http://www.linkedin.com/company/amitree'},amitree
{'value': 'https://onfleet.com'},(844)913-7488,{'value': 'http://twitter.com/onfleet'},{'value': 'http://www.facebook.com/onfleetapp'},contact@onfleet.com,{'value': 'http://www.linkedin.com/company/onfleet'},onfleet
